pol_first_name,pol_middle_name,pol_last_name,pol_junior,photo_credit,polra_party,ra_number,pol_nat_id,polra_in_order,polra_number,pol_number,of_number,se_number,race_id,office_id,ra_num_winners,rt_number,rt_party_name,of_description,ot_number,ot_name,se_name,of_scope,race_order,el_date,ra_uncontested,ra_tabulate,st_postal,ra_national_b,ra_runoff_cands,pol_abbrv,incumbent,website,facebook,twitter,instagram,youtube,ballotpedia,currently,previously,sentence,photo_slug,race_to_watch,gg_link,gg_to_watch_link,wnyc_link,why_watch
Odessa,,Kennedy,,https://www.facebook.com/photo.php?fbid=142911259433096&set=a.142911276099761.1073741826.100011426688154&type=3&theater,Dem,34729,0,1,78989,53890,1080,0,D,K,1,1,Dem,,33003,Brooklyn Civil Court,Countywide,L,28490,20160913,FALSE,TRUE,NY,FALSE,FALSE,Kennedy,FALSE,http://www.odessakennedyforjudge.com/,,,,,,Private practice attorney,Judicial Screening Committee for the Democratic Party (2007-2008),Received the Attorney of the Year Award from Bay Democrats in 2015. Approved by NYC Bar Association.,,,,,,
Consuelo,,Melendez,,https://www.facebook.com/MelendezForJudge2016/photos/a.186437971753724.1073741825.186436845087170/216949672035887/?type=1&theater,Dem,34729,0,2,78990,53891,1080,0,D,K,1,1,Dem,,33003,Brooklyn Civil Court,Countywide,L,28490,20160913,FALSE,TRUE,NY,FALSE,FALSE,Melendz,FALSE,http://www.melendezforjudge.com/,,,,,,"Principal Law Clerk, State Supreme Court Justice Marsha L. Steinhardt",,Backed by Kings County Democratic Committee. Endorsed by many Democratic elected officials and political clubs. Approved by NYC Bar Association.,,,,,,
Edward,,Irizarry,,,Dem,37882,0,1,79003,53900,1074,3,D,K,1,1,Dem,,33003,Brooklyn Civil Court,District 3,L,28660,20160913,FALSE,TRUE,NY,FALSE,FALSE,Irizarry,FALSE,,,,,,,Private practice lawyer,,"Rated ""not approved"" by the NYC Bar Association.",,,,,,
Susan,,Quirk,,https://www.facebook.com/photo.php?fbid=10208019642226889&set=a.1433102105575.2057085.1173576663&type=3&theater,Dem,37882,0,2,79004,53901,1074,3,D,K,1,1,Dem,,33003,Brooklyn Civil Court,District 3,L,28660,20160913,FALSE,TRUE,NY,FALSE,FALSE,Quirk,FALSE,,https://www.facebook.com/susan.quirk.9,,,,,New York State Court Attorney Referee,Assistant District Attorney of Kings County,"Daughter of Dennis Quirk, powerful head of the court officers union. Not rated by the NYC Bar Association.",,,,,,
Jill,,Epstein,,,Dem,36374,0,2,79006,53903,1076,5,D,K,1,1,Dem,,33003,Brooklyn Civil Court,District 5,L,28770,20160913,FALSE,TRUE,NY,FALSE,FALSE,Epstein,FALSE,,,,,n/a,,Law clerk to Brooklyn Supreme Court Justice Johnny Lee Baynes,,Endorsed by the Central Brooklyn Independent Democrats. Not rated by the NYC Bar Association.,,,,,,
Morton,,Avigdor,,http://avigdorforjudge.com/,Dem,36374,0,3,79007,53904,1076,5,D,K,1,1,Dem,,33003,Brooklyn Civil Court,District 5,L,28770,20160913,FALSE,TRUE,NY,FALSE,FALSE,Avigdor,FALSE,,,,,n/a,,Private practice attorney,Staffer for former Congress member Anthony Weiner,"""Failed to pay back"" $500,000 from an estate for which he was the executor, according to news reports. Rated ""not approved"" by the NYC Bar Association.",,,,,,
Rachel,,Freier,,http://freierforcivilcourt.com/,Dem,36374,0,1,79023,53916,1076,5,D,K,1,1,Dem,,33003,Brooklyn Civil Court,District 5,L,28770,20160913,FALSE,TRUE,NY,FALSE,FALSE,Freier,FALSE,http://freierforcivilcourt.com/,https://www.facebook.com/freierforcivilcourt/,,,n/a,,Lawyer specializing in real estate and commercial law,,"Founder of an all-women ambulance company in Boro Park's Orthodox community.Rated ""not approved"" by the NYC Bar Association.",,,,,,
Helen,,Hines,,,Dem,35397,0,2,78978,53883,1019,17,D,N,1,1,Dem,,14,City Council,District 17,L,19100,20160913,FALSE,TRUE,NY,FALSE,FALSE,Hines,FALSE,http://helenhines.com/,,https://twitter.com/helenfh2016,,,https://ballotpedia.org/Helen_Hines,,"Political Project Director, SEIU 1199-United Healthcare Workers East; nurse's aide",Wants to focus on family housing and reducing the negative effects of gentrification. Last worked with the NAACP on a march from Selma to Washington D.C. as a union leader.,,,,,,
Rafael,,Salamanca,,https://ballotpedia.org/Rafael_Salamanca_Jr.,Dem,35397,0,3,78979,53884,1019,17,D,N,1,1,Dem,,14,City Council,District 17,L,19100,20160913,FALSE,TRUE,NY,FALSE,FALSE,Salamnc,TRUE,http://www.salamanca.nyc/,,https://twitter.com/salamancajr80,,,,"City Council member, District 17",District Manager of Bronx Community Board 2,"Elected in April special election and has been working on getting more capital funds and NYCHA repairs. Endorsed by DC 37, the Working Families Party and SEIU 1199.",,,,,,
Susan,,Avery,,,Dem,,,,,,,,,,,,Dem,,,Manhattan Civil Court,District 6,L,29340,20160913,FALSE,TRUE,NY,FALSE,FALSE,Avery,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,Brooklyn Housing Court Judge,,"Rated ""not approved"" by the NYC Bar Association.",,,,,,
Sabrina,,Kraus,,re,Dem,,,,,,,,,,,,Dem,,,Manhattan Civil Court,District 6,L,29340,20160913,FALSE,TRUE,NY,FALSE,FALSE,Kraus,FALSE,http://www.sabrinaforcivilcourt.com/about-sabrina.html,N/A,N/A,N/A,N/A,N/A,Manhattan Housing Court Judge,,"Endorsed by many Democratic officials, including Congress members Carolyn Maloney and Jerrold Nadler, Assembly member Keith Wright, and several local Democratic clubs. Rated ""Qualified” by the Independent Judicial Election Qualification Commission. Approved by the NYC Bar Association.",,,,,,
Maria,,Kelso,,https://www.facebook.com/MariaKelsoforNY/photos/a.319393585063768.1073741844.266922146977579/319394358397024/?type=3&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 101,L,13640,20160913,FALSE,TRUE,NY,FALSE,FALSE,Kelso,FALSE,http://www.mariakelso.us/,https://www.facebook.com/MariaKelsoforNY/,https://twitter.com/MariaKelsoForNY,,N/A,,"Legislative Aide, State Assembly; Chair, Delaware County Republican Committee",Small business owner,Has worked on education and veterans' issues. Wants to also focus on the heroin epidemic and reducing taxes.,,,,,,
Brian,,Miller,,,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 101,L,13640,20160913,FALSE,TRUE,NY,FALSE,FALSE,Miller,FALSE,http://millerforassembly.com/,https://www.facebook.com/BrianMillerAssembly/,,,,,Oneida County Legislator since 2000,Town of Bridgewater Supervisor (1991-1999),Wants to focus on changing Common Core and reducing taxes in the Assembly. A longtime member of the Oneida County Legislature who touts his experience with the legislative process.,,,,,,
